"geneId","geneIdNCBI","simplifiedId","simplifiedResistance","geneLength"
901,"WP_063864974.1",914,"class A beta-lactamase TEM-219",286
902,"WP_063864938.1",914,"class A beta-lactamase TEM-219",286
903,"WP_063864930.1",914,"class A beta-lactamase TEM-219",286
904,"WP_063864923.1",914,"class A beta-lactamase TEM-219",286
905,"WP_063864916.1",914,"class A beta-lactamase TEM-219",286
906,"WP_063864915.1",914,"class A beta-lactamase TEM-219",286
907,"WP_063864914.1",914,"class A beta-lactamase TEM-219",286
908,"WP_063864913.1",914,"class A beta-lactamase TEM-219",286
909,"WP_063864911.1",914,"class A beta-lactamase TEM-219",286
910,"WP_063864910.1",914,"class A beta-lactamase TEM-219",286
911,"WP_063864908.1",914,"class A beta-lactamase TEM-219",286
912,"WP_063864907.1",914,"class A beta-lactamase TEM-219",286
913,"WP_063864906.1",914,"class A beta-lactamase TEM-219",286
914,"WP_063864905.1",914,"class A beta-lactamase TEM-219",286
915,"WP_063864904.1",914,"class A beta-lactamase TEM-219",286
916,"WP_063864902.1",914,"class A beta-lactamase TEM-219",286
917,"WP_063864901.1",914,"class A beta-lactamase TEM-219",286
918,"WP_063864900.1",914,"class A beta-lactamase TEM-219",286
919,"WP_063864898.1",914,"class A beta-lactamase TEM-219",286
920,"WP_063864897.1",914,"class A beta-lactamase TEM-219",286
921,"WP_063864896.1",914,"class A beta-lactamase TEM-219",286
922,"WP_063864895.1",914,"class A beta-lactamase TEM-219",286
923,"WP_063864894.1",914,"class A beta-lactamase TEM-219",286
924,"WP_063864893.1",914,"class A beta-lactamase TEM-219",286
925,"WP_063864892.1",914,"class A beta-lactamase TEM-219",286
926,"WP_063864891.1",914,"class A beta-lactamase TEM-219",286
927,"WP_063864890.1",914,"class A beta-lactamase TEM-219",286
928,"WP_063864889.1",914,"class A beta-lactamase TEM-219",286
929,"WP_063864888.1",914,"class A beta-lactamase TEM-219",286
930,"WP_063864887.1",914,"class A beta-lactamase TEM-219",286
931,"WP_063864886.1",914,"class A beta-lactamase TEM-219",286
932,"WP_063864885.1",914,"class A beta-lactamase TEM-219",286
933,"WP_063864884.1",914,"class A beta-lactamase TEM-219",286
934,"WP_063864883.1",914,"class A beta-lactamase TEM-219",286
935,"WP_063864882.1",914,"class A beta-lactamase TEM-219",286
936,"WP_063864881.1",914,"class A beta-lactamase TEM-219",286
937,"WP_063864880.1",914,"class A beta-lactamase TEM-219",286
938,"WP_063864879.1",914,"class A beta-lactamase TEM-219",285
939,"WP_063864878.1",914,"class A beta-lactamase TEM-219",286
940,"WP_063864876.1",914,"class A beta-lactamase TEM-219",286
941,"WP_063864874.1",914,"class A beta-lactamase TEM-219",286
942,"WP_063864873.1",914,"class A beta-lactamase TEM-219",286
943,"WP_063864870.1",914,"class A beta-lactamase TEM-219",286
944,"WP_063864865.1",914,"class A beta-lactamase TEM-219",286
945,"WP_063864864.1",914,"class A beta-lactamase TEM-219",286
946,"WP_063864853.1",914,"class A beta-lactamase TEM-219",286
947,"WP_063864807.1",914,"class A beta-lactamase TEM-219",286
948,"WP_063864801.1",914,"class A beta-lactamase TEM-219",286
949,"WP_063864800.1",914,"class A beta-lactamase TEM-219",286
950,"WP_063864798.1",914,"class A beta-lactamase TEM-219",286
951,"WP_063864750.1",2031,"SRT/SST family class C beta-lactamase",378
952,"WP_063864749.1",2031,"SRT/SST family class C beta-lactamase",378
953,"WP_063864748.1",1538,"class A extended-spectrum beta-lactamase CSP-1",293
954,"WP_063864745.1",954,"subclass B3 metallo-beta-lactamase SPG-1",285
955,"WP_063864740.1",955,"carbapenem-hydrolyzing class A beta-lactamase SME-5",294
956,"WP_063864730.1",955,"carbapenem-hydrolyzing class A beta-lactamase SME-5",294
957,"WP_063864724.1",955,"carbapenem-hydrolyzing class A beta-lactamase SME-5",294
958,"WP_063864723.1",958,"subclass B3 metallo-beta-lactamase SMB-1",280
959,"WP_063864722.1",4299,"MULTISPECIES: subclass B1 metallo-beta-lactamase SIM-1",246
960,"WP_063864719.1",280,"class A beta-lactamase SHV-200",286
961,"WP_063864718.1",280,"class A beta-lactamase SHV-200",286
962,"WP_063864717.1",280,"class A beta-lactamase SHV-200",286
963,"WP_063864716.1",280,"class A beta-lactamase SHV-200",286
964,"WP_063864715.1",280,"class A beta-lactamase SHV-200",286
965,"WP_063864694.1",280,"class A beta-lactamase SHV-200",286
966,"WP_063864693.1",280,"class A beta-lactamase SHV-200",286
967,"WP_063864691.1",280,"class A beta-lactamase SHV-200",286
968,"WP_063864685.1",280,"class A beta-lactamase SHV-200",286
969,"WP_063864679.1",280,"class A beta-lactamase SHV-200",286
970,"WP_063864678.1",280,"class A beta-lactamase SHV-200",286
971,"WP_063864673.1",280,"class A beta-lactamase SHV-200",286
972,"WP_063864670.1",280,"class A beta-lactamase SHV-200",286
973,"WP_063864669.1",280,"class A beta-lactamase SHV-200",286
974,"WP_063864668.1",280,"class A beta-lactamase SHV-200",286
975,"WP_063864667.1",280,"class A beta-lactamase SHV-200",286
976,"WP_063864666.1",280,"class A beta-lactamase SHV-200",286
977,"WP_063864665.1",280,"class A beta-lactamase SHV-200",286
978,"WP_063864663.1",280,"class A beta-lactamase SHV-200",286
979,"WP_063864662.1",280,"class A beta-lactamase SHV-200",286
980,"WP_063864661.1",280,"class A beta-lactamase SHV-200",287
981,"WP_063864660.1",280,"class A beta-lactamase SHV-200",286
982,"WP_063864659.1",280,"class A beta-lactamase SHV-200",286
983,"WP_063864658.1",280,"class A beta-lactamase SHV-200",286
984,"WP_063864657.1",280,"class A beta-lactamase SHV-200",286
985,"WP_063864655.1",280,"class A beta-lactamase SHV-200",286
986,"WP_063864654.1",280,"class A beta-lactamase SHV-200",286
987,"WP_063864653.1",280,"class A beta-lactamase SHV-200",286
988,"WP_063864652.1",280,"class A beta-lactamase SHV-200",286
989,"WP_063864651.1",280,"class A beta-lactamase SHV-200",286
990,"WP_063864650.1",280,"class A beta-lactamase SHV-200",286
991,"WP_063864649.1",280,"class A beta-lactamase SHV-200",286
992,"WP_063864648.1",280,"class A beta-lactamase SHV-200",286
993,"WP_063864647.1",280,"class A beta-lactamase SHV-200",286
994,"WP_063864646.1",280,"class A beta-lactamase SHV-200",291
995,"WP_063864645.1",280,"class A beta-lactamase SHV-200",286
996,"WP_063864644.1",280,"class A beta-lactamase SHV-200",286
997,"WP_063864643.1",280,"class A beta-lactamase SHV-200",286
998,"WP_063864642.1",280,"class A beta-lactamase SHV-200",286
999,"WP_063864641.1",280,"class A beta-lactamase SHV-200",286
1000,"WP_063864640.1",280,"class A beta-lactamase SHV-200",286
1001,"WP_063864639.1",280,"class A beta-lactamase SHV-200",286
1002,"WP_063864638.1",280,"class A beta-lactamase SHV-200",286
1003,"WP_063864637.1",280,"class A beta-lactamase SHV-200",286
1004,"WP_063864636.1",280,"class A beta-lactamase SHV-200",286
1005,"WP_063864635.1",280,"class A beta-lactamase SHV-200",286
1006,"WP_063864634.1",280,"class A beta-lactamase SHV-200",286
1007,"WP_063864633.1",280,"class A beta-lactamase SHV-200",286
1008,"WP_063864632.1",280,"class A beta-lactamase SHV-200",286
1009,"WP_063864631.1",280,"class A beta-lactamase SHV-200",286
1010,"WP_063864630.1",280,"class A beta-lactamase SHV-200",286
1011,"WP_063864629.1",280,"class A beta-lactamase SHV-200",286
1012,"WP_063864628.1",280,"class A beta-lactamase SHV-200",286
1013,"WP_063864627.1",280,"class A beta-lactamase SHV-200",286
1014,"WP_063864626.1",280,"class A beta-lactamase SHV-200",286
1015,"WP_063864624.1",280,"class A beta-lactamase SHV-200",286
1016,"WP_063864623.1",280,"class A beta-lactamase SHV-200",286
1017,"WP_063864622.1",280,"class A beta-lactamase SHV-200",286
1018,"WP_063864620.1",280,"class A beta-lactamase SHV-200",286
1019,"WP_063864619.1",280,"class A beta-lactamase SHV-200",286
1020,"WP_063864617.1",280,"class A beta-lactamase SHV-200",286
1021,"WP_063864616.1",280,"class A beta-lactamase SHV-200",286
1022,"WP_063864615.1",280,"class A beta-lactamase SHV-200",286
1023,"WP_063864613.1",280,"class A beta-lactamase SHV-200",286
1024,"WP_063864601.1",1024,"class A extended-spectrum beta-lactamase RAHN-2",295
1025,"WP_063864599.1",1025,"MULTISPECIES: class A extended-spectrum beta-lactamase PME-1",309
1026,"WP_063864598.1",1300,"class A beta-lactamase ORN-4",291
1027,"WP_063864597.1",279,"class A extended-spectrum beta-lactamase PER-12",308
1028,"WP_063864596.1",279,"class A extended-spectrum beta-lactamase PER-12",308
1029,"WP_063864595.1",1029,"class A extended-spectrum beta-lactamase PER-6",308
1030,"WP_063864594.1",279,"class A extended-spectrum beta-lactamase PER-12",308
1031,"WP_063864593.1",279,"class A extended-spectrum beta-lactamase PER-12",308
1032,"WP_063864592.1",1032,"subclass B1 metallo-beta-lactamase PEDO-3",237
1033,"WP_063864591.1",1033,"subclass B3 metallo-beta-lactamase PEDO-2",285
1034,"WP_063864590.1",1034,"subclass B3 metallo-beta-lactamase PEDO-1",286
1035,"WP_063864589.1",60,"class C beta-lactamase PDC-300",397
1036,"WP_063864588.1",60,"class C beta-lactamase PDC-300",397
1037,"WP_063864587.1",60,"class C beta-lactamase PDC-300",397
1038,"WP_063864586.1",60,"class C beta-lactamase PDC-300",397
1039,"WP_063864585.1",60,"class C beta-lactamase PDC-300",397
1040,"WP_063864584.1",60,"class C beta-lactamase PDC-300",397
1041,"WP_063864583.1",60,"class C beta-lactamase PDC-300",397
1042,"WP_063864582.1",2374,"class C beta-lactamase PDC-41",397
1043,"WP_063864581.1",60,"class C beta-lactamase PDC-300",397
1044,"WP_063864580.1",60,"class C beta-lactamase PDC-300",397
1045,"WP_063864579.1",60,"class C beta-lactamase PDC-300",397
1046,"WP_063864577.1",60,"class C beta-lactamase PDC-300",397
1047,"WP_063864576.1",60,"class C beta-lactamase PDC-300",397
1048,"WP_063864575.1",60,"class C beta-lactamase PDC-300",397
1049,"WP_063864573.1",60,"class C beta-lactamase PDC-300",397
1050,"WP_063864572.1",60,"class C beta-lactamase PDC-300",397
1051,"WP_063864571.1",60,"class C beta-lactamase PDC-300",397
1052,"WP_063864570.1",60,"class C beta-lactamase PDC-300",397
1053,"WP_063864569.1",60,"class C beta-lactamase PDC-300",397
1054,"WP_063864568.1",60,"class C beta-lactamase PDC-300",397
1055,"WP_063864567.1",60,"class C beta-lactamase PDC-300",397
1056,"WP_063864566.1",60,"class C beta-lactamase PDC-300",397
1057,"WP_063864565.1",60,"class C beta-lactamase PDC-300",397
1058,"WP_063864564.1",60,"class C beta-lactamase PDC-300",397
1059,"WP_063864563.1",60,"class C beta-lactamase PDC-300",397
1060,"WP_063864562.1",60,"class C beta-lactamase PDC-300",397
1061,"WP_063864561.1",60,"class C beta-lactamase PDC-300",397
1062,"WP_063864560.1",60,"class C beta-lactamase PDC-300",397
1063,"WP_063864559.1",60,"class C beta-lactamase PDC-300",397
1064,"WP_063864558.1",1064,"class A extended-spectrum beta-lactamase OXY-6-3",291
1065,"WP_063864557.1",1064,"class A extended-spectrum beta-lactamase OXY-6-3",290
1066,"WP_063864556.1",1064,"class A extended-spectrum beta-lactamase OXY-6-3",291
1067,"WP_063864555.1",1064,"class A extended-spectrum beta-lactamase OXY-6-3",290
1068,"WP_063864554.1",1064,"class A extended-spectrum beta-lactamase OXY-6-3",288
1069,"WP_063864553.1",1072,"class A extended-spectrum beta-lactamase OXY-2-15",289
1070,"WP_063864552.1",1072,"class A extended-spectrum beta-lactamase OXY-2-15",290
1071,"WP_063864551.1",1072,"class A extended-spectrum beta-lactamase OXY-2-15",289
1072,"WP_063864550.1",1072,"class A extended-spectrum beta-lactamase OXY-2-15",288
1073,"WP_063864549.1",1072,"class A extended-spectrum beta-lactamase OXY-2-15",290
1074,"WP_063864548.1",1072,"class A extended-spectrum beta-lactamase OXY-2-15",290
1075,"WP_063864547.1",1072,"class A extended-spectrum beta-lactamase OXY-2-15",290
1076,"WP_063864546.1",1064,"class A extended-spectrum beta-lactamase OXY-6-3",291
1077,"WP_063864545.1",1064,"class A extended-spectrum beta-lactamase OXY-6-3",291
1078,"WP_063864544.1",3280,"MULTISPECIES: carbapenem-hydrolyzing class D beta-lactamase OXA-58",280
1079,"WP_063864543.1",3280,"MULTISPECIES: carbapenem-hydrolyzing class D beta-lactamase OXA-58",280
1080,"WP_063864542.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1081,"WP_063864541.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1082,"WP_063864540.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1083,"WP_063864539.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1084,"WP_063864537.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1085,"WP_063864531.1",1102,"OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-483",273
1086,"WP_063864528.1",1108,"OXA-63 family oxacillin-hydrolyzing class D beta-lactamase OXA-476",268
1087,"WP_063864500.1",1087,"MULTISPECIES: carbapenem-hydrolyzing class D beta-lactamase OXA-60",271
1088,"WP_063864256.1",3442,"OXA-55 family carbapenem-hydrolyzing class D beta-lactamase OXA-666",289
1089,"WP_063864216.1",1089,"OXA-493 family class D beta-lactamase OXA-518",248
1090,"WP_063864208.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1091,"WP_063864194.1",1173,"class D beta-lactamase OXA-364",275
1092,"WP_063864184.1",3280,"MULTISPECIES: carbapenem-hydrolyzing class D beta-lactamase OXA-58",280
1093,"WP_063864158.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1094,"WP_063864150.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1095,"WP_063864138.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1096,"WP_063864118.1",301,"OXA-48 family class D beta-lactamase OXA-519",265
1097,"WP_063864115.1",1097,"class D beta-lactamase OXA-504",264
1098,"WP_063864114.1",2137,"MULTISPECIES: OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-417",273
1099,"WP_063864113.1",2137,"MULTISPECIES: OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-417",273
1100,"WP_063864112.1",1100,"OXA-143 family carbapenem-hydrolyzing class D beta-lactamase OXA-499",275
1101,"WP_063864110.1",301,"OXA-48 family class D beta-lactamase OXA-519",265
1102,"WP_063864109.1",1102,"OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-483",273
1103,"WP_063864108.1",1102,"OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-483",273
1104,"WP_063864106.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1105,"WP_063864102.1",1108,"OXA-63 family oxacillin-hydrolyzing class D beta-lactamase OXA-476",269
1106,"WP_063864101.1",1108,"OXA-63 family oxacillin-hydrolyzing class D beta-lactamase OXA-476",269
1107,"WP_063864100.1",1108,"OXA-63 family oxacillin-hydrolyzing class D beta-lactamase OXA-476",269
1108,"WP_063864099.1",1108,"OXA-63 family oxacillin-hydrolyzing class D beta-lactamase OXA-476",269
1109,"WP_063864098.1",1108,"OXA-63 family oxacillin-hydrolyzing class D beta-lactamase OXA-476",269
1110,"WP_063864097.1",1108,"OXA-63 family oxacillin-hydrolyzing class D beta-lactamase OXA-476",269
1111,"WP_063864096.1",1108,"OXA-63 family oxacillin-hydrolyzing class D beta-lactamase OXA-476",269
1112,"WP_063864095.1",1108,"OXA-63 family oxacillin-hydrolyzing class D beta-lactamase OXA-476",268
1113,"WP_063864094.1",1108,"OXA-63 family oxacillin-hydrolyzing class D beta-lactamase OXA-476",269
1114,"WP_063864093.1",1108,"OXA-63 family oxacillin-hydrolyzing class D beta-lactamase OXA-476",269
1115,"WP_063864092.1",4187,"MULTISPECIES: OXA-1 family oxacillin-hydrolyzing class D beta-lactamase OXA-4",276
1116,"WP_063864091.1",2142,"OXA-184 family class D beta-lactamase OXA-629",248
1117,"WP_063864090.1",3717,"oxacillin-hydrolyzing class D beta-lactamase OXA-118",266
1118,"WP_063864089.1",1120,"class D beta-lactamase OXA-457",275
1119,"WP_063864088.1",1120,"class D beta-lactamase OXA-457",275
1120,"WP_063864087.1",1120,"class D beta-lactamase OXA-457",275
1121,"WP_063864086.1",1221,"OXA-10 family class D beta-lactamase OXA-251",266
1122,"WP_063864085.1",1122,"OXA-184 family class D beta-lactamase OXA-448",248
1123,"WP_063864084.1",153,"OXA-184 family class D beta-lactamase OXA-620",249
1124,"WP_063864083.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1125,"WP_063864082.1",1102,"OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-483",273
1126,"WP_063864081.1",301,"OXA-48 family class D beta-lactamase OXA-519",261
1127,"WP_063864080.1",301,"OXA-48 family class D beta-lactamase OXA-519",263
1128,"WP_063864079.1",1222,"OXA-24 family carbapenem-hydrolyzing class D beta-lactamase OXA-25",275
1129,"WP_063864078.1",1102,"OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-483",273
1130,"WP_063864077.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1131,"WP_063864076.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1132,"WP_063862945.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1133,"WP_063862927.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1134,"WP_063862921.1",3131,"MULTISPECIES: oxacillin-hydrolyzing class D beta-lactamase OXA-57",269
1135,"WP_063862915.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1136,"WP_063862833.1",1102,"OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-483",273
1137,"WP_063862828.1",1102,"OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-483",273
1138,"WP_063862810.1",3280,"MULTISPECIES: carbapenem-hydrolyzing class D beta-lactamase OXA-58",280
1139,"WP_063862802.1",3131,"MULTISPECIES: oxacillin-hydrolyzing class D beta-lactamase OXA-57",269
1140,"WP_063862796.1",1180,"OXA-229 family carbapenem-hydrolyzing class D beta-lactamase OXA-356",276
1141,"WP_063862782.1",301,"OXA-48 family class D beta-lactamase OXA-519",265
1142,"WP_063862769.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1143,"WP_063862768.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1144,"WP_063862767.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1145,"WP_063862766.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1146,"WP_063862765.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",275
1147,"WP_063862764.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1148,"WP_063862763.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1149,"WP_063862762.1",301,"OXA-48 family class D beta-lactamase OXA-519",261
1150,"WP_063862761.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1151,"WP_063862760.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1152,"WP_063862757.1",1102,"OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-483",273
1153,"WP_063862756.1",3280,"MULTISPECIES: carbapenem-hydrolyzing class D beta-lactamase OXA-58",280
1154,"WP_063862755.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1155,"WP_063862754.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1156,"WP_063862753.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1157,"WP_063862752.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1158,"WP_063862751.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1159,"WP_063862750.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1160,"WP_063862749.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1161,"WP_063862748.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1162,"WP_063862747.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1163,"WP_063862746.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1164,"WP_063862745.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1165,"WP_063862744.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1166,"WP_063862743.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1167,"WP_063862742.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1168,"WP_063862741.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1169,"WP_063862739.1",157,"OXA-372 family carbapenem-hydrolyzing class D beta-lactamase OXA-641",257
1170,"WP_063862738.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1171,"WP_063862736.1",1102,"OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-483",273
1172,"WP_063862735.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1173,"WP_063862734.1",1173,"class D beta-lactamase OXA-364",275
1174,"WP_063862733.1",3061,"OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-284",276
1175,"WP_063862732.1",3061,"OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-284",276
1176,"WP_063862731.1",3061,"OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-284",276
1177,"WP_063862730.1",1186,"OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-350",273
1178,"WP_063862729.1",1186,"OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-350",273
1179,"WP_063862728.1",1186,"OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-350",273
1180,"WP_063862727.1",1180,"OXA-229 family carbapenem-hydrolyzing class D beta-lactamase OXA-356",276
1181,"WP_063862726.1",1180,"OXA-229 family carbapenem-hydrolyzing class D beta-lactamase OXA-356",276
1182,"WP_063862725.1",1186,"OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-350",273
1183,"WP_063862724.1",1186,"OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-350",273
1184,"WP_063862723.1",1186,"OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-350",273
1185,"WP_063862722.1",1186,"OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-350",273
1186,"WP_063862721.1",1186,"OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-350",273
1187,"WP_063862719.1",1186,"OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-350",273
1188,"WP_063862718.1",1186,"OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-350",273
1189,"WP_063862717.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1190,"WP_063862716.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1191,"WP_063862715.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1192,"WP_063862714.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1193,"WP_063862713.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1194,"WP_063862712.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1195,"WP_063862711.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1196,"WP_063862710.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1197,"WP_063862707.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1198,"WP_063862702.1",1198,"OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-335",273
1199,"WP_063862698.1",1199,"OXA-211 family carbapenem-hydrolyzing class D beta-lactamase OXA-334",274
1200,"WP_063862693.1",3097,"OXA-211 family carbapenem-hydrolyzing class D beta-lactamase OXA-280",274
1201,"WP_063862690.1",1186,"OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-350",273
1202,"WP_063862682.1",1186,"OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-350",273
1203,"WP_063862674.1",1186,"OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-350",273
1204,"WP_063862667.1",1186,"OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-350",273
1205,"WP_063862662.1",1186,"OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-350",273
1206,"WP_063862656.1",1186,"OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-350",273
1207,"WP_063862651.1",1186,"OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-350",273
1208,"WP_063862646.1",1186,"OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-350",273
1209,"WP_063862643.1",1186,"OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-350",273
1210,"WP_063862638.1",1186,"OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-350",273
1211,"WP_063862632.1",1186,"OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-350",273
1212,"WP_063862622.1",4187,"MULTISPECIES: OXA-1 family oxacillin-hydrolyzing class D beta-lactamase OXA-4",276
1213,"WP_063862605.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1214,"WP_063862603.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1215,"WP_063862598.1",383,"OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561",274
1216,"WP_063862593.1",3097,"OXA-211 family carbapenem-hydrolyzing class D beta-lactamase OXA-280",274
1217,"WP_063862443.1",1102,"OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-483",273
1218,"WP_063862442.1",1222,"OXA-24 family carbapenem-hydrolyzing class D beta-lactamase OXA-25",275
1219,"WP_063862441.1",1180,"OXA-229 family carbapenem-hydrolyzing class D beta-lactamase OXA-356",276
1220,"WP_063862440.1",1100,"OXA-143 family carbapenem-hydrolyzing class D beta-lactamase OXA-499",275
1221,"WP_063862430.1",1221,"OXA-10 family class D beta-lactamase OXA-251",266
1222,"WP_063862416.1",1222,"OXA-24 family carbapenem-hydrolyzing class D beta-lactamase OXA-25",275
1223,"WP_063862394.1",1221,"OXA-10 family class D beta-lactamase OXA-251",266
1224,"WP_063862274.1",1221,"OXA-10 family class D beta-lactamase OXA-251",266
1225,"WP_063862170.1",3101,"OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-277",276
1226,"WP_063862149.1",1221,"OXA-10 family class D beta-lactamase OXA-251",266
1227,"WP_063862128.1",1100,"OXA-143 family carbapenem-hydrolyzing class D beta-lactamase OXA-499",275
1228,"WP_063862119.1",1180,"OXA-229 family carbapenem-hydrolyzing class D beta-lactamase OXA-356",276
1229,"WP_063861840.1",1180,"OXA-229 family carbapenem-hydrolyzing class D beta-lactamase OXA-356",276
